Name,Stance,Board Size,Birth Year,Country,Part Name,Year Filmed,Length (s),Total Tricks,Opening Trick,Ending Trick,Rail ,Hubba,Ledge,Flatground,Gap or Stairs,Transition,Manual ,Switch ,Nollie,Fakie,Regular,Spins,180,360,Flips
Wes Kremer,Goofy,8,1989,America,Skateboarding Is Forever,2010,276,60,Wall Ride,Wall Ride,5,6,9,6,22,13,4,13,6,6,35,20,24,3,26
Wes Kremer,Goofy,8,1989,America,Crusty By Nature,2014,345,70,Nollie Hardflip,Dark Slide,16,3,5,6,31,16,2,24,5,10,31,31,38,2,40
Wes Kremer,Goofy,8,1989,America,#WesKremer Part,2020,324,61,Hippy Jump,F/S Flip Fakie 5-0,7,2,3,9,37,8,1,15,4,2,40,17,18,3,23
Luan Oliveira,Regular,8.125,1990,Brazil,One For All,2017,231,52,Nollie FS Flip,Switch FS Tail 270 Heel Flip Out,1,0,15,17,9,4,4,7,16,9,20,29,24,3,41
Luan Oliveira,Regular,8.125,1990,Brazil,Extremely Sorry,2009,262,61,Switch FS 180 Nose Grind Nollie BS Big Spin Out,Switch Krook Big Flip Out,3,0,23,11,8,3,11,15,9,12,25,48,35,1,44
Luan Oliveira,Regular,8.125,1990,Brazil,Lost & Found,2022,240,44,Switch Heel,BS Flip Fakie Nose Manual FS 180 Out,0,0,10,22,4,3,6,10,7,8,19,0,0,0,0
Dane Burman,Goofy,8.25,1987,Australia,Damn It All,2020,292,41,FS Board Slide,Nollie Heel Flip,13,6,4,2,14,1,0,3,1,1,36,0,0,0,0
Dane Burman,Goofy,8.25,1987,Australia,Hope To Die,2020,281,30,BS 50-50,FS 50-50,21,1,2,3,3,2,1,3,1,2,25,0,0,0,0
Tyshawn Jones,Regular,8.25,1998,America,Away Days,2016,171,31,BS Flip,Varial Flip,10,0,4,3,14,0,0,10,4,1,16,0,0,0,0
Tyshawn Jones,Regular,8.25,1998,America,HARDIES,2022,276,27,Varial Heel,Backside Flip,2,1,2,5,17,0,1,7,9,1,10,0,0,0,0
Miles Silvas,Regular,8.25,1995,America,Spitfire,2020,256,35,Fakie FS Shuv Nose Grind ,Front Blunt BS Kickflip Out,6,1,17,3,7,0,0,11,8,3,13,0,0,0,0
